Hash Implementation,LoadFactor,Iteration,Avg Contains (hit), Avg Contains (miss), Avg Remove, Avg Add
Cuckoo,0.3,2,0.04364,0.04657,0.09221,0.09418,72643.0
Cuckoo,0.3,3,0.06568,0.05299,0.09127,0.09503,72643.0
Cuckoo,0.3,4,0.0249,0.02733,0.05523,0.06342,72643.0
Cuckoo,0.5,0,0.05395,0.05671,0.43038,0.09833,76667.0
Cuckoo,0.5,1,0.04586,0.04492,0.08462,0.09888,76667.0
Cuckoo,0.5,2,0.01989,0.01979,3.50168,0.11935,76667.0
Cuckoo,0.5,3,0.04254,0.05072,0.11251,0.42452,76667.0
Cuckoo,0.5,4,0.02152,0.04345,0.05079,0.06389,76667.0
Cuckoo,0.7,0,0.03568,0.03593,0.09957,0.06861,77681.0
Cuckoo,0.7,1,0.02061,0.02539,0.04874,0.06536,77681.0
Cuckoo,0.7,2,0.03632,0.04543,0.08089,0.09053,77681.0
Cuckoo,0.7,3,0.04531,0.05247,0.08146,0.09447,77681.0
Cuckoo,0.7,4,0.0418,0.05361,0.09483,0.10029,77681.0
Cuckoo,0.9,0,0.06995,0.0797,0.08876,0.34095,80701.0
Cuckoo,0.9,1,0.04538,0.05841,0.08842,0.10096,80701.0
Cuckoo,0.9,2,0.03699,0.04389,0.08281,0.08966,80701.0
Cuckoo,0.9,3,0.04454,0.05739,0.09,0.09796,80701.0
Cuckoo,0.9,4,0.04362,0.05569,0.08167,0.09535,80701.0
